Breed,Group
Papillon,Toy
Pekingese,Toy
Pomeranian,Toy
Pug,Toy
Shih Tzu,Toy
Silky Terrier,Toy
Toy Fox Terrier,Toy
Yorkshire Terrier,Toy
Miniature Pinscher,Toy
Miniature Poodle,Toy
Bruss Griffon,Toy
Cavalier Span,Toy
Toy Poodle,Toy
Akita,Working
Alaskan Malamute,Working
Anatolian Shepherd Dog,Working
Bernese Mountain Dog,Working
Black Russian Terrier,Working
Boerboel,Working
Boxer,Working
Bullmastiff,Working
Canadian Eskimo Dog,Working
Cane Corso,Working
Chinook,Working
Doberman Pinscher,Working
Dobermann,Working
Dogue De Bordeaux,Working
German Pinscher,Working
Giant Schnauzer,Working
Great Dane,Working
Great Pyrenees,Working
Greater Swiss Mountain Dog,Working
Greenland Dog,Working
Hovawart,Working
Komondor,Working
Kuvasz,Working
Leonberger,Working
Mastiff,Working
Neapolitan Mastiff,Working
Newfoundland,Working
Portuguese Water Dog,Working
Pyrenean Mastiff,Working
Rottweiler,Working
Russian Black Terrier,Working
Saint Bernard,Working
Samoyed,Working
Siberian Husky,Working
St. Bernard,Working
Standard Schnauzer,Working
Tibetan Mastiff,Working
Anatol Shepherd,Working
Doberman Pinsch,Working
Alaskan Husky,Working
Schnauzer Giant,Working
Bedlington Terr,Terrier
Chesa Bay Retr,Sporting
Cinnamon,Other-animal
Cockatiel,Other-animal
Dutch Shepherd,Working
English Coonhound,Hound
Ferret,Other-animal
Frog,Other-animal
Goat,Other-animal
Horse,Other-animal
Lizard,Other-animal
Parakeet,Other-animal
Persian,Other-animal
Patterdale Terr,Terrier
Parrot,Other-animal
Podengo Pequeno,Hound
Pbgv,Hound
Quarter Horse,Other-animal
Quarter,Other-animal
Snake,Other-animal
Swiss Hound,Hound
Tarantula,Other-animal
Turtle,Other-animal
Turkey,Other-animal
Abyssinian,Others
American,Others
American Sable,Others
Armadillo,Others
Balinese,Others
Bantam,Others
Bengal,Others
Black,Others
Bluebird,Others
Bombay,Others
Boykin Span,Others
British,Others
Bunting,Others
Burmese,Others
Californian,Others
Carolina Dog,Others
Catbird,Others
Chartreux,Others
Cirneco,Others
Cold Water,Others
Conure,Others
Cornish Rex,Others
Cottontail,Others
Coyote,Others
Cymric,Others
Dandie Dinmont,Others
Devon Rex,Others
Dogo Argentino,Others
Donkey,Others
Dutch,Others
English Shepherd,Others
English Spot,Others
Entlebucher,Others
Exotic,Others
Feist,Others
Finch,Others
Gerbil,Others
Glen Of Imaal,Others
Grackle,Others
Hotot,Others
Javanese,Others
Jersey Wooly,Others
Jindo,Others
Landseer,Others
Lark,Others
Lionhead,Others
Lop-English,Others
Lop-Holland,Others
Lop-Mini,Others
Lovebird,Others
Mexicanless,Others
Mockingbird,Others
Mouse,Others
Munchkin,Others
New Zealand Wht,Others
Nuthatch,Others
Picardy Sheepdog,Others
Pixiebob,Others
Pointing Griffon,Others
Port Water Dog,Others
Presa Canario,Others
Pygmy,Others
Quaker,Others
Rex,Others
Ringtail,Others
Schipperke,Others
Silkie,Others
Silver,Others
Sphynx,Others
Standard Poodle,Others
Sugar Glider,Others
Tonkinese,Others
Tortoise,Others
Treeing Cur,Others
Turkish Van,Others
Unknown,Others
Yorkshire,Others
